Geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	n_samples_with_counts	pct_total_reads	Chr	gene	product	organism	contrast
C7Y58_RS04090	1.67197962478936	2.77873798614532	1.02253968105755	2.71748670259079	0.00657797985643394	0.0607402172227166	24	0.0223346514120636	NZ_CP028101.1	gctA	glutaconate CoA-transferase subunit A	F. nucleatum	CRC vs Paired
C7Y58_RS01495	2.03017464435088	2.46552970599502	0.914211659328575	2.69689155770096	0.00699900587913916	0.0641108938529147	29	0.0323500078401674	NZ_CP028101.1		peptidylprolyl isomerase	F. nucleatum	CRC vs Paired
C7Y58_RS04670	3.74240182912685	2.23543952489582	0.832253726167133	2.68600722905854	0.00723115242697371	0.0651942482589362	37	0.048111658078171	NZ_CP028101.1		fructose bisphosphate aldolase	F. nucleatum	CRC vs Paired
C7Y58_RS09395	1.81054211109973	2.23582833135886	0.831869188773438	2.68771624377086	0.00719425031809048	0.0651942482589362	38	0.0289076525861236	NZ_CP028101.1		efflux RND transporter permease subunit	F. nucleatum	CRC vs Paired
C7Y58_RS04850	4.29330953897786	1.36899218759255	0.512718653228095	2.67006511070609	0.00758365396266385	0.0678381545878915	69	0.0465666639877734	NZ_CP028101.1	atpD	F0F1 ATP synthase subunit beta	F. nucleatum	CRC vs Paired
C7Y58_RS04080	1.21620890209477	2.98943885533201	1.12220027494821	2.66390850373831	0.0077238567806772	0.0685567132858558	20	0.0163579637465781	NZ_CP028101.1		biotin/lipoyl-containing protein	F. nucleatum	CRC vs Paired
C7Y58_RS00145	1.3396601380408	2.77709082442615	1.04570075309708	2.6557223146308	0.00791387507656314	0.069702976635883	25	0.0270916069009194	NZ_CP028101.1		ABC transporter ATP-binding protein	F. nucleatum	CRC vs Paired
C7Y58_RS06655	1.64671488394595	2.11310421150871	0.797468430323493	2.64976534638685	0.00805476932600885	0.0698690218051525	34	0.0220500472375167	NZ_CP028101.1	efp	elongation factor P	F. nucleatum	CRC vs Paired
C7Y58_RS08890	2.25074225748034	2.52614508656929	0.953127449329772	2.65037491926777	0.00804024926221563	0.0698690218051525	28	0.0449539069986742	NZ_CP028101.1	pta	phosphate acetyltransferase	F. nucleatum	CRC vs Paired
C7Y58_RS02660	4.80245353380197	1.97932591689775	0.749132237743826	2.64215824279424	0.00823795568333277	0.070920746296361	48	0.0897045253012434	NZ_CP028101.1	nusG	transcription termination/antitermination protein NusG	F. nucleatum	CRC vs Paired
C7Y58_RS09625	1.93756384768975	2.0227973238878	0.76816383157256	2.63328894273348	0.0084562373897231	0.0722566553077086	38	0.0403731350464427	NZ_CP028101.1		sigma-54-dependent transcriptional regulator	F. nucleatum	CRC vs Paired
C7Y58_RS03990	1.64774115092793	1.96156578410915	0.749761166209773	2.61625417868113	0.00889003516085033	0.0749816587417995	42	0.0229851752395994	NZ_CP028101.1		NAD(P)/FAD-dependent oxidoreductase	F. nucleatum	CRC vs Paired
C7Y58_RS08805	1.54062622719805	1.70593808831554	0.652207507071497	2.61563700175032	0.00890611841823994	0.0749816587417995	47	0.020789657321666	NZ_CP028101.1		penicillin-binding protein	F. nucleatum	CRC vs Paired
C7Y58_RS06115	1.36340420600148	2.53634357273218	0.971176895936612	2.61161852525961	0.00901147447759325	0.0753148779331698	27	0.0357923630942112	NZ_CP028101.1		hypothetical protein	F. nucleatum	CRC vs Paired
C7Y58_RS05050	1.76726139608973	2.50383996794509	0.960028473036501	2.60808927887901	0.00910492037257224	0.0755444480188059	28	0.0230664907180414	NZ_CP028101.1		ABC transporter ATP-binding protein	F. nucleatum	CRC vs Paired
C7Y58_RS09310	1.37489393284311	2.87839736226565	1.10579959905386	2.60300090968422	0.00924117084999125	0.0761233138362589	21	0.0233104371533674	NZ_CP028101.1		C4-dicarboxylate TRAP transporter substrate-binding protein	F. nucleatum	CRC vs Paired
I6J55_RS12405	10.7796285917738	0.637392723672933	0.246527065110132	2.58548781809489	0.00972413089818526	0.0765882495896996	97	0.108976293691992	NZ_CP069563.1	gyrB	DNA topoisomerase (ATP-hydrolyzing) subunit B	B. fragilis	CRC vs Paired
I6J55_RS17290	5.73922934150865	-1.13905327896877	0.440037486697381	-2.58853691651983	0.009638461508172	0.0765882495896996	79	0.0355348640791449	NZ_CP069563.1		citrate/2-methylcitrate synthase	B. fragilis	CRC vs Paired
C7Y58_RS00300	91.1295706172796	0.770539042959833	0.296595103945968	2.59794930094397	0.00937823395246081	0.0765882495896996	115	0.852592791464152	NZ_CP028101.1	tuf	elongation factor Tu	F. nucleatum	CRC vs Paired
C7Y58_RS02585	1.58656372968775	2.06545575323442	0.799293394225842	2.58410211839036	0.00976328820654382	0.0765882495896996	35	0.0236085939076546	NZ_CP028101.1		autotransporter-associated N-terminal domain-containing protein	F. nucleatum	CRC vs Paired
C7Y58_RS02630	1.62374868822777	2.37820680525849	0.919497271387367	2.58642073148316	0.00969784739563126	0.0765882495896996	31	0.0433140448500942	NZ_CP028101.1		autotransporter-associated N-terminal domain-containing protein	F. nucleatum	CRC vs Paired
C7Y58_RS06120	1.63463986244511	2.12282281503159	0.819934591331578	2.58901482810247	0.00962509497330986	0.0765882495896996	34	0.0305339621549632	NZ_CP028101.1	thrS	threonine--tRNA ligase	F. nucleatum	CRC vs Paired
C7Y58_RS09170	2.0697184922988	1.97243495748839	0.763322659293304	2.58401206026623	0.00976583793894859	0.0765882495896996	42	0.0195834777247767	NZ_CP028101.1	guaB	IMP dehydrogenase	F. nucleatum	CRC vs Paired
C7Y58_RS07010	1.32144092168086	2.4831693453206	0.961871062542035	2.58160312959002	0.00983426036981475	0.076600191315904	26	0.0186619023024342	NZ_CP028101.1	gltS	sodium/glutamate symporter	F. nucleatum	CRC vs Paired
C7Y58_RS02905	1.77739382083475	2.4733043715179	0.961063605519312	2.57350747371341	0.0100673472541385	0.0778858959864092	28	0.0255737179700024	NZ_CP028101.1	glmU	bifunctional UDP-N-acetylglucosamine diphosphorylase/glucosamine-1-phosphate N-acetyltransferase GlmU	F. nucleatum	CRC vs Paired
